iata,land_code,stadt
TIN,DZ,Tindouf
TKD,GH,Takoradi
TLE,MG,Toliara
TLM,DZ,Tlemcen
TML,GH,Tamale
TMM,MG,Toamasina
TMR,DZ,Tamanrasset
TMS,ST,Sao Tome
TMX,DZ,Timimoun
TNG,MA,Tanger
TNR,MG,Antananarivo
TOE,TN,Tozeur
TOM,ML,Tombouctou
TTA,MA,Tan-Tan
TTU,MA,Tetouan
TUD,SN,Tambacounda
TUN,TN,Tunis
UEL,MZ,Quelimane
ULU,UG,Gulu
UTN,ZA,Upington
UTT,ZA,Umtata
UYL,SD,Nyala
VDE,ES,Valverde
VFA,ZW,Victoriafälle
VIL,MA,Dakhla
VNX,MZ,Vilankulos
VOH,IR,Vohimarina
VPE,AO,Ondjiva
VPY,MZ,Chimoio
VVZ,DZ,Illizi
VXC,MZ,Lichinga
VXE,CV,Insel Sao Vicente
WAI,MG,Antsohihy
WDH,,Windhoek
WFI,MG,Fianarantsoa
WIL,KE,Nairobi
WJR,KE,Wajir
WMN,MG,Maroantsetra
WMR,MG,Mananara Avaratra
WUU,SS,Wau
WVB,NA,Walvis Bay
WVK,MG,Manakara
WYE,SL,Yengema
XLS,SN,St-Louis
YAO,CM,Yaounde
YOL,NG,Yola
ZIG,SN,Ziguinchor
ZND,NE,Zinder
ZNZ,TZ,Sansibar
ZSE,RE,St-Pierre
ZVA,MG,Miandrivazo
ZZU,MW,Mzuzu
AAA,PF,Anaa
ABX,AU,Albury
ADL,AU,Adelaide
AHE,PF,Ahe
AKL,NZ,Auckland
ALH,AU,Albany
APW,WS,Apia
ARM,AU,Armidale
ASP,AU,Alice Springs
AUQ,PF,Hiva Oa
AVV,AU,Melbourne
AWK,UM,Wake Island
AXR,PF,Arutua
AYQ,AU,Ayers Rock
BCI,AU,Barcaldine
BDB,AU,Bundaberg
BEU,AU,Bedourie
BHE,NZ,Blenheim
BHQ,AU,Broken Hill
BHS,AU,Bathurst
BKQ,AU,Blackall
BLT,AU,Schwarzwasser
BME,AU,Broome
BMY,NC,Ile Art
BNE,AU,Brisbane
BNK,AU,Ballina
BOB,PF,Bora Bora
BQL,AU,Boulia
BRK,AU,Bourke
BUA,PG,Buka
BVI,AU,Birdsville
BWT,AU,Burnie
CAZ,AU,Cobar
CBR,AU,Canberra
CED,AU,Ceduna
CFS,AU,Coffs Harbour
CHC,NZ,Christchurch
CHT,NZ,Chatham-Insel
CMA,AU,Cunnamulla
CMU,PG,Kundiawa
CNB,AU,Coonamble
CNJ,AU,Cloncurry
CNS,AU,Cairns
CPD,AU,Coober Pedy
CTL,AU,Charleville
CTN,AU,Cooktown
CUQ,AU,Coen
CVQ,AU,Carnarvon
CXI,KI,Kiritimati
DAU,PG,Daru
DBO,AU,Dubbo
DPO,AU,Devonport
DRW,AU,Darwin
DUD,NZ,Dunedin
ELC,AU,Insel Elcho
EMD,AU,Smaragd
EPR,AU,Esperance
FAV,PF,Fakarava
FTI,US,Fitiuta
FUN,TV,Funafuti
FUT,WF,Futuna-Insel
GEA,NC,Noumea
GET,AU,Geraldton
GFF,AU,Griffith
GIS,NZ,Gisborne
GKA,PG,Goroka
GLT,AU,Gladstone
GMR,PF,Gambier
GOV,AU,Nhulunbuy
GTE,AU,Groote Eylandt
GUM,GU,Guam
GUR,PG,Alotau
HBA,AU,Hobart
HGU,PG,Berg Hagen
HID,AU,Horninsel
HIR,SB,Honiara
HKK,NZ,Hokitika
HKN,PG,Hoskins
HLZ,NZ,Hamilton
HNL,US,Honolulu
HNM,US,Hana
HOI,PF,Hoy
HPA,TO,Ha'apai
HTI,AU,Hamilton Island
HUH,PF,Huahine
HVB,AU,Hervey Bay
ILP,NC,Ile des Pins
INU,NR,Insel Nauru
IRG,AU,Lockhart River
ISA,AU,Mount Isa
ITO,US,Hilo
IUE,NU,Niue Insel
IVC,NZ,Invercargill
JHM,US,Kapalua
KAT,NZ,Kaitaia
KGC,AU,Kingscote
KGI,AU,Kalgoorlie-Boulder
KKE,NZ,Kerikeri
KKR,PF,Kaukura
KMA,PG,Kerema
KNQ,NC,Kone
KNS,AU,Königsinsel
KNX,AU,Kununurra
KOA,US,Kona
KOC,NC,Koumac
KSA,FM,Kosrae
KTA,AU,Karratha
KVG,PG,Kavieng
KWA,MH,Insel Kwajalein
KWM,AU,Kowanyama
LAE,PG,Lae
LBS,FJ,Labasa
LEA,AU,Learmonth
LER,AU,Leinster
LHG,AU,Lightning Ridge
LIF,NC,Lifou
LIH,US,Lihue
LNO,AU,Leonora
LNY,US,Lanai City
LRE,AU,Longreach
LST,AU,Launceston
LSY,AU,Lismore
MAG,PG,Madang
MAJ,MH,Majuro
MAS,PG,Manus Insel
MAU,PF,Maupiti
MBW,AU,Melbourne
MCY,AU,Sonnenscheinküste
MDU,PG,Mendi
MEB,AU,Melbourne
MEE,NC,Stute
MEL,AU,Melbourne
MGB,AU,Mount Gambier
MHU,AU,Mount Hotham
MIM,AU,Merimbula
MJK,AU,Monkey Mia
MKK,US,Hoolehua
MKP,PF,Makemo
MKR,AU,Meekatharra
MKY,AU,Mackay
MMG,AU,Magnet montieren
MNG,AU,Maningrida
MOV,AU,Moranbah
MOZ,PF,Moorea
MQL,AU,Mildura
MRZ,AU,Moree
MUA,SB,Munda
MUE,US,Kamuela
MVT,PF,Mataiva
MYA,AU,Moruya
NAA,AU,Narrabri
NAN,FJ,Nanning
NHV,PF,Nuku Hiva
NLK,NF,Norfolkinsel
NOU,NC,Noumea
NPE,NZ,Napier/Hastings
NPL,NZ,New Plymouth
NRA,AU,Narrandera
NSN,NZ,Nelson
NTL,AU,Newcastle
NTN,AU,Normanton
OAM,NZ,Oamaru
OKY,AU,Oakey
OOL,AU,Gold Coast
OOM,AU,Cooma
OPU,PG,Balimo
PBO,AU,Paraburdoo
PER,AU,Perth
PHE,AU,Port Hedland
PKE,AU,Parkes
PLO,AU,Port Lincoln
PMR,NZ,Palmerston North
PNI,FM,Pohnpei
PNP,PG,Popondetta
POM,PG,Port Moresby
PPG,AS,Pago Pago
PPP,AU,Proserpine
PPT,PF,Tahiti
PQQ,AU,Port Macquarie
PTJ,AU,Portland
PUG,AU,Port Augusta
RAB,PG,Rabaul
RAR,CK,Insel Rarotonga
RFP,PF,Raiatea
RGI,PF,Rangiroa
RMA,AU,Roma
ROK,AU,Rockhampton
ROP,MP,Rota
ROR,PW,Koror
ROT,NZ,Rotorua
RUR,PF,Rurutu
SNB,AU,Milikapiti
SON,VU,Luganville
SPN,MP,Saipan
SUV,FJ,Suva
SYD,AU,Sydney
TAH,VU,Insel Tanna
TBU,TO,Nuku'alofa
TCA,AU,Tennant Creek
TGJ,NC,Tiga
THG,AU,Thangool
TIH,PF,Tikehau
TIU,NZ,Timaru
TKK,FM,Chuuk
TKP,PF,Takapoto
TKX,PF,Takaroa
TMW,AU,Tamworth
TOU,NC,Touho
TRG,NZ,Tauranga
TRO,AU,Taree
TRW,KI,Tarawa
TSV,AU,Townsville
TUB,PF,Tubuai
TUO,NZ,Taupo
ULP,AU,Quilpie
UVE,NC,Ouvea
VAI,PG,Vanimo
VAV,TO,Vava'u
VLI,VU,Port Vila
VMU,PG,Baimuru
WAG,NZ,Whanganui
WBM,PG,Wapenamanda
WEI,AU,Weipa
WGA,AU,Wagga Wagga
WHK,NZ,Whakatane
WIN,AU,Winton
WKA,NZ,Wanaka
WLG,NZ,Wellington
WLS,WF,Wallis Insel
WNR,AU,Windorah
WOL,AU,Wollongong
WRE,NZ,Whangarei
WSZ,NZ,Westport
WTB,AU,Toowoomba
WUN,AU,Wiluna
WWK,PG,Wewak
WYA,AU,Whyalla
XMH,PF,Manihi
XTG,AU,Thargomindah
YAP,FM,Yap
ZGU,VU,Insel Gaua
ZNE,AU,Newman
ZQN,NZ,Queenstown
ABE,US,Allentown
ABI,US,Albany
ABQ,US,Albuquerque
ABR,US,Aberdeen
ABY,US,Albany
ACK,US,Nantucket
ACT,US,Waco
ACV,US,Arcata/Eureka
ACY,US,Atlantic City
ADK,US,Adak Insel
ADQ,US,Kodiak
AEX,US,Alexandria
AGS,US,Augusta
AHN,US,Athen
AIN,US,Wainwright
AKN,US,Königslachs
ALB,US,Albany
ALO,US,Waterloo
ALS,US,Alamosa
ALW,US,Walla Walla
AMA,US,Ama
ANC,US,Anchorage
ANI,US,Aniak
ANN,US,Ann
ANV,US,Anvik
AOO,US,Altoona
APN,US,Alpena
ARC,US,Arctic Village
KUNST,US,Watertown
ASE,US,Aspen
ATL,US,Atlanta
ATY,US,Watertown
AUG,US,Augusta
AUS,US,Austin
AVL,US,Asheville/Hendersonv.
AVP,US,Wilkes-Barre/Scranton
AZA,US,Phoenix
AZO,US,Kalamazoo/Battle Creek
BAR,US,Qionghai
BDL,US,Hartford
BDR,US,Bridgeport
BED,US,Bedford
BET,US,Bethel
BFD,US,Bradford
BFF,US,Scottsbluff
BFI,US,Seattle
BFL,US,Bakersfield
BGM,US,Binghamton
BGR,US,Bangor
BHB,US,Bar Harbor
BHM,US,Birmingham
BIL,US,Billings
BIS,US,Bismarck
BJC,US,Denver
BKW,US,Beckley
BLF,US,Bluefield/Princeton
BLI,US,Bellingham
BLV,US,Belleville
BMI,US,Bloomington/Normal
BNA,US,Nashville
BOI,US,Boise
BOS,US,Boston
BPT,US,Beaumont/Port Arthur
BQK,US,Brunswick
BQN,US,Aguadilla
BRD,US,Brainerd
BRL,US,Burlington
BRO,US,Brownsville
BRW,US,Utqiagvik Barrow
BTM,US,Butte
BTR,US,Baton Rouge
BTV,US,Burlington
BUF,US,Buffalo
BUR,US,Burbank
BWI,US,Washington
BZN,US,Bozeman
CAE,US,Kolumbien
CAK,US,Akron/Kanton
CDC,US,Cedar City
CDV,US,Cordova
CEC,US,Crescent City
CGI,US,Cape Girardeau
CHA,US,Chattanooga
CHO,US,Charlottesville
CHS,US,Charleston
CID,US,Cedar Rapids
CIU,US,Sault Ste Marie
CKB,US,Clarksburg
CLE,US,Cleveland
CLL,US,College Station
CLM,US,Port Angeles
CLT,US,Charlotte
CMH,US,Columbus
CMI,US,Champaign/Urbana
CMX,US,Hancock
CNM,US,Carlsbad
COD,US,Cody
COS,US,Colorado Springs
COU,US,Kolumbien
CPR,US,Casper
CRP,US,Corpus Christi
CRW,US,Charleston
CSG,US,Columbus
CVG,US,Cincinnati
CYS,US,Cheyenne
DAB,US,Daytona Beach
DAL,US,Dallas
DAY,US,Dayton
DBQ,US,Dubuque
DCA,US,Washington
DDC,US,Dodge City
DEC,US,Decatur
DEN,US,Denver
DFW,US,Dallas
DHN,US,Dothan
DLG,US,Dillingham
DLH,US,Duluth
DSM,US,Des Moines
DTW,US,Detroit
DUJ,US,DuBois
DUT,US,Dutch Harbor
EAR,US,Kearney
EAU,US,Eau Claire
ECP,US,Panama-Stadt
EGE,US,Vail/Eagle
EGX,US,Egegik
EKO,US,Elko
ELD,US,El Dorado
ELM,US,Elmira/Corning
ELP,US,El Paso
EMK,US,Emmonak
ERI,US,Erie
EUG,US,Eugene
EWB,US,New Bedford/Fall River
EWN,US,New Bern
EWR,US,New York
EYW,US,Key West
FAI,US,Fayetteville
FAR,US,Fargo
FAT,US,Fresno
FAY,US,Fayetteville
FCA,US,Kalispell
FHU,US,Sierra Vista
FLG,US,Grand Canyon
FLL,US,Fort Lauderdale
FLO,US,Florenz
FNT,US,Flint
FOD,US,Fort Dodge
FSD,US,Sioux Falls
FSM,US,Fort Smith
FTI,US,Fitiuta
GCC,US,Gillette
GCK,US,Gartenstadt
GCN,US,Grand Canyon
GEG,US,Spokane
GFK,US,Grand Forks
GGG,US,Longview
GGW,US,Glasgow
GJT,US,Grand Junction
GLH,US,Greenville
GNV,US,Gainesville
GPT,US,Gulfport/Biloxi
GRB,US,Green Bay
GRI,US,Grand Island
GRK,US,Killeen/Fort Hood
GRR,US,Grand Rapids
GSO,US,Greensboro/High Point
APS,US,Greenville/Spartanburg
GST,US,Gustavus
GTF,US,Great Falls
GTR,US,Columbus
HCR,US,Heiliges Kreuz
HIB,US,Hibbing/Chisholm
HII,US,Lake Havasu City
HLN,US,Helena
HNL,US,Honolulu
HNM,US,Hana
HNS,US,Haines
HOB,US,Hobbs
HON,US,Hon
HOT,US,Hot Springs
HOU,US,Houston
HPN,US,White Plains
HRL,US,Harlingen
HRO,US,Harrison
HSV,US,Huntsville
HTS,US,Huntington
HVN,US,New Haven
HYA,US,Hyannis
IAD,US,Washington
IAG,US,Niagarafälle
IAH,US,Houston
ICT,US,Wichita
IDA,US,Idaho Falls
ILG,US,Wilmington
ILM,US,Wilmington
INL,US,International Falls
IPT,US,Williamsport
IRK,US,Kirksville
ISP,US,Islip
ITH,US,Ithaca
ITO,US,Hilo
JAC,US,Jackson
JAN,US,Jackson
JAX,US,Jacksonville
JBR,US,Jonesboro
JFK,US,New York
JHM,US,Kapalua
JLN,US,Joplin
JMS,US,Jamestown
JNU,US,Juneau
JST,US,Johnstown
KOA,US,Kona
KTN,US,Ketchikan
LAN,US,Lansing
LAR,US,Lar
LAS,US,Las Vegas
LAX,US,Los Angeles
LBB,US,Lubbock
LBE,US,Latrobe
LBF,US,North Platte
LBL,US,Liberale
LCH,US,Lake Charles
LCK,US,Columbus
LEB,US,Libanon
LEX,US,Lexington
LFT,US,Lafayette
LGA,US,New York
LGB,US,Long Beach
LIH,US,Lihue
LIT,US,Little Rock
LMT,US,Klamath Falls
LNK,US,Lincoln
LNS,US,Lancaster
LNY,US,Lanai City
LRD,US,Laredo
LSE,US,La Crosse
LWS,US,Lewiston
LWT,US,Lewistown
LYH,US,Lynchburg
MAF,US,Midland
MAZ,US,Mayaguez
MBS,US,Saginaw/Midland/Bay C.
MCG,US,McGrath
MCI,US,Kansas City
MCN,US,Macon
MCO,US,Orlando
MDT,US,Harrisburg
MDW,US,Chicago
MEI,US,Meridian
MEM,US,Memphis
MFE,US,McAllen/Mission
MFR,US,Medford
MGM,US,Montgomery
MGW,US,Morgantown
MHK,US,Manhattan
MHR,US,Sacramento
MHT,US,Manchester
MIA,US,Miami
MKE,US,Milwaukee
MKG,US,Muskegon
MKK,US,Hoolehua
MKL,US,Jackson
MLB,US,Melbourne
MLI,US,Moline
MLL,US,Marshall
MLS,US,Miles City
MLU,US,Monroe
MOB,US,Mobil
MOT,US,Minot
MQT,US,Marquette
MRY,US,Monterey/Carmel
MSL,US,Muscle Shoals/Florence
MSN,US,Madison
MSO,US,Missoula
MSP,US,Minneapolis/St Paul
MSS,US,Massena
MSY,US,New Orleans
MTJ,US,Montrose
MUE,US,Kamuela
MYR,US,Myrtle Beach
OAJ,US,Jacksonville
OAK,US,Oakland
OGD,US,Ogden
OGG,US,Kahului
OGS,US,Ogdensburg
OKC,US,Oklahoma City
OMA,US,Omaha
OME,US,Nome
ONT,US,Los Angeles
ORD,US,Chicago
ORF,US,Norfolk
ORH,US,Worcester
OTH,US,North Bend
OTZ,US,Kotzebue
OWB,US,Owensboro
PAE,US,Seattle
PAH,US,Paducah
PBG,US,Plattsburgh
PBI,US,West Palm Beach
PDT,US,Pendleton
PDX,US,Portland
PGD,US,Punta Gorda
PHF,US,Newport News/Williamsb
PHL,US,Philadelphia
PHX,US,Phoenix
PIA,US,Peoria
PIB,US,Hattiesburg/Laurel
PIE,US,Tampa
PIH,US,Pocatello
PIR,US,Pierre
PIT,US,Pittsburgh
PKB,US,Parkersburg
PLN,US,Pellston
PNE,US,Philadelphia
PNS,US,Pensacola
PQI,US,Presque Isle
PRC,US,Prescott
PSC,US,Pasco
PSG,US,Petersburg
PSM,US,Boston
PSP,US,Palm Springs
PUB,US,Pueblo
PUW,US,Pullman WA/Moskau ID
PVD,US,Vorsehung
PVU,US,Provo
PWM,US,Portland
RAP,US,Rapid City
RDD,US,Redding
RDG,US,Lesen
RDM,US,Redmond/Bend
RDU,US,Raleigh/Durham
RFD,US,Chicago
RHI,US,Rhinelander
RIC,US,Richmond
RIW,US,Riverton
RKS,US,Rock Springs
RNO,US,Reno
ROA,US,Roanoke
ROC,US,Rochester
ROW,US,Roswell
RST,US,Rochester
RSW,US,Fort Myers
RUT,US,Rutland
SAF,US,Santa Fe
SAN,US,San Diego
SAT,US,San Antonio
SAV,US,Savannah
SBA,US,Santa Barbara
SBD,US,San Bernardino
SBP,US,San Luis Obispo
SBY,US,Salisbury/Ocean City
SCC,US,Prudhoe Bay/Deadhorse
SCE,US,State College
SDF,US,Louisville
SEA,US,Seattle
SFB,US,Orlando
SFO,US,San Francisco
SGF,US,Springfield
SGU,US,St. George
SHD,US,Staunton/Waynesboro
SHR,US,Sheridan
SHV,US,Shreveport
SIT,US,Sitka
SJC,US,San Jose
SJT,US,San Angelo
SLC,US,Salt Lake City
SLK,US,Saranac Lake
SLN,US,Salina
SMF,US,Sacramento
SMX,US,Santa Maria
SNA,US,Santa Ana
SNP,US,Insel St. Paul
SPI,US,Springfield
SPS,US,Wichita Falls
SPX,US,Giza
SRQ,US,Sarasota/Bradenton
STC,US,St Cloud
STG,US,St.-George-Insel
STL,US,St. Louis
STS,US,Santa Rosa
SUN,US,Hailey/Sun Valley
SUX,US,Sioux City
SWF,US,New York
SYR,US,Syracuse
TBN,US,Fort Leonard Wood
TLH,US,Tallahassee
TOL,US,Tol
TPA,US,Tampa
TRI,US,Bristol/Johnson/Kingsp
TTN,US,Philadelphia
TUL,US,Tulsa
TUP,US,Tupelo
TUS,US,Tucson
TVC,US,Traverse City
TWF,US,Twin Falls
TXK,US,Texarkana
TYR,US,Tyler
TYS,US,Knoxville
UIN,US,Quincy
USA,US,Concord
UST,US,St. Augustine
VCT,US,Victoria
VEL,US,Vernal
VLD,US,Valdosta
VPS,US,Destin/Ft Walton Beach
WKK,US,Aleknagik
WRG,US,Wrangell
XNA,US,Fayetteville/Springd.
XWA,US,Williston
YAK,US,Yakutat
YKM,US,Yakima
YUM,US,Yuma
AKV,CA,Akulivik
ILF,CA,Ilford
LAK,CA,Aklavik
MSA,CA,Muskrat Dam
QBC,CA,Bella Coola
XGR,CA,Kangiqsualujjuaq
XKS,CA,Kasabonika
XTL,CA,Tadoule See
YAA,CA,Anahim See
YAC,CA,Cat Lake
YAG,CA,Fort Frances
YAL,CA,Alert Bay
YAM,CA,Sault Ste Marie
YAT,CA,Attawapiskat
YAY,CA,St. Antonius
YAZ,CA,Tofino
YBB,CA,Kugaaruk
YBC,CA,Baie-Comeau
YBE,CA,Uranium City
YBG,CA,Saguenay-Bagotville
YBK,CA,Baker Lake
YBL,CA,Campbell River
YBR,CA,Brandon
YBT,CA,Brochet
YBV,CA,Berens River
YBX,CA,Blanc-Sablon
YBY,CA,Bonnyville
YCB,CA,Cambridge Bay
YCD,CA,Nanaimo
YCG,CA,Castlegar
YCH,CA,Miramichi
YCL,CA,Charlo
YCO,CA,Kugluktuk
YCS,CA,Chesterfield Inlet
YCY,CA,Clyde River
YDA,CA,Dawson City
YDF,CA,Deer Lake
YDN,CA,Dauphin
YDP,CA,Nain
YDQ,CA,Dawson Creek
YEG,CA,Edmonton
YEK,CA,Arviat
YER,CA,Fort Severn
YEV,CA,Inuvik
YFA,CA,Fort Albany
YFB,CA,Iqaluit
YFC,CA,Fredericton
YFH,CA,Fort Hope
YFO,CA,Flin Flon
YFS,CA,Fort Simpson
YGB,CA,Gillies Bay
YGH,CA,Fort Good Hope
YGK,CA,Kingston
YGL,CA,La Grande Riviere
YGO,CA,Gods Lake Narrows
YGP,CA,Gaspe
YGR,CA,Iles de La Madeleine
YGT,CA,Igloolik
YGW,CA,Kuujjuarapik
YGX,CA,Gillam
YGZ,CA,Grise Fiord
YHD,CA,Dryden
JHI,CA,Ulukhaktok
YHK,CA,Gjoa Haven
YHM,CA,Toronto
YHO,CA,Hopedale
YHR,CA,Chevery
YHU,CA,Montreal
YHY,CA,Hay River
YHZ,CA,Halifax
YIK,CA,Ivujivik
YIO,CA,Teicheinlauf
YIV,CA,Island Lk/Garden Hill
YJT,CA,Stephenville
YKA,CA,Kamloops
YKF,CA,Toronto
YKG,CA,Kangirsuk
YKL,CA,Schefferville
YKQ,CA,Waskaganisch
YLC,CA,Kimmirut
YLH,CA,Lansdowne House
YLL,CA,Lloydminster
YLW,CA,Kelowna
YMH,CA,Mary's Harbour
YMM,CA,Fort McMurray
YMN,CA,Makkovik
YMO,CA,Moosonee
YMT,CA,Chibougamau
YNA,CA,Natashquan
YNC,CA,Wemindji
YND,CA,Ottawa
YNE,CA,Norwegen-Haus
YNL,CA,Points North Landing
YNS,CA,Nemiscau
YOC,CA,Old Crow
YOH,CA,Oxford House
YOJ,CA,Hochrangig
YOP,CA,Regenbogensee
YOW,CA,Ottawa
YPA,CA,Prince Albert
YPC,CA,Paulatuk
YPE,CA,Peace River
YPH,CA,Inukjuak
YPJ,CA,Aupaluk
YPL,CA,Pickle Lake
YPM,CA,Pikangikum
YPO,CA,Peawanuck
YPR,CA,Prince Rupert
YPW,CA,Powell River
YPY,CA,Fort Chipewyan
YPZ,CA,Burns Lake
YQB,CA,Quebec
YQC,CA,Quaqtaq
YQD,CA,The Pas
YQG,CA,Windsor
YQK,CA,Kenora
YQL,CA,Lethbridge
YQM,CA,Moncton
YQN,CA,Nakina
YQQ,CA,Comox
YQR,CA,Regina
YQT,CA,Thunder Bay
YQU,CA,Grande Prairie
YQX,CA,Gander
YQY,CA,Sydney
YQZ,CA,Quesnel
YRA,CA,Gameti
YRB,CA,Resolute
YRF,CA,Cartwright
YRJ,CA,Roberval
YRL,CA,Red Lake
YRT,CA,Rankin Inlet
YSB,CA,Sudbury
YSF,CA,Stony Rapids
YSG,CA,Lutselke
YSJ,CA,Saint John
YSK,CA,Sanikiluaq
YSM,CA,Fort Smith
YST,CA,St. Theresia Point
YSY,CA,Sachs Harbour
YTE,CA,Kinngait
YTF,CA,Alma
YTH,CA,Thompson
YTL,CA,Big Trout Lake
YTM,CA,Mont-Tremblant
YTS,CA,Timmins
YTZ,CA,Toronto
YUB,CA,Tuktoyaktuk
YUD,CA,Umiujaq
YUL,CA,Montreal
YUT,CA,Repulse Bay
YUX,CA,Sanirajak
YUY,CA,Rouyn-Noranda
YVC,CA,La Ronge
YVM,CA,Qikiqtarjuaq
YVO,CA,Val d'Or
YVP,CA,Kuujjuaq
YVQ,CA,Norman Wells
YVR,CA,Vancouver
YVZ,CA,Deer Lake
JWB,CA,Kangiqsujuaq
YWG,CA,Winnipeg
YWJ,CA,Deline
YWK,CA,Wabush
YWL,CA,Williams Lake
YWP,CA,Webequie
YXC,CA,Cranbrook
YXE,CA,Saskatoon
YXH,CA,Medicine Hat
YXJ,CA,Fort St John
YXL,CA,Sioux Lookout
YXN,CA,Walfischbucht
YXP,CA,Pangnirtung
YXS,CA,Prince George
YXT,CA,Terrasse
YXU,CA,London
YXX,CA,Vancouver
YXY,CA,Whitehorse
YYB,CA,North Bay
YYC,CA,Calgary
YYD,CA,Smithers
YYE,CA,Fort Nelson
YYF,CA,Penticton
YYG,CA,Charlottetown
YYH,CA,Taloyoak
YYJ,CA,Victoria
YYL,CA,Lynn Lake
YYQ,CA,Churchill
JJR,CA,Gänsebucht
YYT,CA,St. John's
YYU,CA,Kapuskasing
YYY,CA,Mont-Joli
YYZ,CA,Toronto
YZA,CA,Cache Creek/Ashcroft
YZF,CA,Yellowknife
YZG,CA,Salluit
YZP,CA,Sandgrube
YZR,CA,Sarnia
YZS,CA,Coral Harbour
YZT,CA,Port Hardy
YZV,CA,Sept-Iles
ZAC,CA,York Landing
ZBF,CA,Bathurst
ZEL,CA,Bella Bella
ZEM,CA,Eastmain
ZFD,CA,Fond-du-Lac
ZFM,CA,Fort McPherson
ZFN,CA,Tulita
ZGI,CA,Gods River
ZKE,CA,Kashechewan
ZMT,CA,Masset
ZPB,CA,Sachigo See
ZRJ,CA,Runder See
ZSJ,CA,Sandy Lake
ZTM,CA,Schamattawa
ZWL,CA,Wollaston See
